Age,StudyHours,Attendance,Assignments,InternetAccess,Extracurricular,StressLevel,Motivation,ExamScore
22,0.9,76.4,21.8,Yes,Yes,Medium,High,72.9
15,6.7,60.6,13.4,Yes,Yes,Low,High,72.6
22,4.4,99.8,95.3,Yes,Yes,Medium,High,94.1
18,8.7,99.1,7.3,Yes,Yes,Medium,Medium,75.2
17,1.8,82.5,19.9,Yes,Yes,High,High,69.2
17,6.9,90.2,34.8,Yes,No,High,Medium,82.5
20,8.4,85.8,62.0,Yes,No,Medium,Medium,73.8
21,9.4,79.7,54.5,Yes,Yes,Low,High,100.0
20,6.8,52.7,12.6,Yes,Yes,High,Low,57.7
20,5.0,72.7,29.0,Yes,Yes,Low,High,81.6
20,6.2,83.7,23.9,Yes,No,Medium,Medium,77.7
20,8.7,83.9,21.4,Yes,Yes,Low,High,87.6
20,5.7,68.7,41.1,Yes,Yes,Medium,Low,62.4
19,0.3,97.1,70.4,No,No,High,Medium,64.9
17,9.3,58.4,21.7,No,Yes,Low,High,69.1
20,6.9,75.0,36.7,Yes,Yes,Medium,Low,78.3
22,6.8,84.5,39.1,Yes,No,Medium,Low,73.5
17,2.2,84.9,97.6,Yes,No,High,High,73.3
17,6.6,82.4,95.5,Yes,Yes,High,Medium,78.2
16,3.9,63.8,80.0,Yes,No,Low,High,95.2
19,6.5,57.8,24.2,Yes,Yes,Low,Low,51.9
20,1.1,81.8,6.8,No,No,Medium,Medium,50.8
15,6.6,80.0,31.7,Yes,Yes,Medium,High,88.0
18,10.0,59.0,26.7,Yes,No,Medium,Medium,69.8
21,0.5,85.3,50.6,Yes,No,Low,Medium,66.8
22,9.8,72.8,77.8,Yes,No,Low,Medium,100.0
15,4.1,83.4,85.8,Yes,No,Medium,High,93.3
19,8.7,91.9,84.5,Yes,Yes,Low,Medium,100.0
18,7.8,58.5,36.0,Yes,Yes,High,Medium,70.0
19,5.7,51.0,68.7,Yes,Yes,Low,Low,72.2
22,7.4,89.0,31.3,Yes,No,Low,Medium,87.4
17,8.8,80.5,6.1,No,No,High,Medium,56.0
18,4.0,85.0,70.2,Yes,Yes,Medium,Medium,92.6
17,3.3,91.9,1.0,Yes,No,Medium,Medium,65.8
22,6.7,90.1,40.9,Yes,No,Low,Low,84.9
15,8.1,98.0,32.9,Yes,No,Medium,Low,95.4
22,7.6,76.8,69.3,Yes,No,Medium,Medium,86.5
15,8.0,74.4,76.6,No,Yes,Medium,Medium,72.2
18,4.4,70.1,30.4,Yes,Yes,High,High,65.0
18,8.2,57.7,81.2,Yes,Yes,Medium,Medium,86.4
20,1.2,78.6,29.4,Yes,Yes,Medium,Low,56.7
19,5.4,63.9,44.6,Yes,No,Medium,Medium,69.6
20,0.1,96.1,72.7,Yes,No,Medium,Low,73.9
19,3.2,79.2,69.3,Yes,No,Low,High,93.3
20,3.7,79.6,98.7,Yes,No,Medium,High,89.6
17,4.0,67.7,22.5,Yes,Yes,Medium,Medium,64.9
18,7.0,52.6,66.2,No,Yes,Medium,Medium,63.9
15,3.9,51.6,61.0,Yes,Yes,Medium,Medium,69.3
19,4.5,71.2,91.5,Yes,Yes,Medium,Medium,81.6
22,2.4,54.2,15.6,Yes,Yes,High,High,67.4
19,3.7,80.3,75.2,Yes,Yes,Low,Low,86.4
15,2.3,94.0,56.8,Yes,Yes,Medium,Medium,86.6
20,0.7,94.1,27.5,Yes,Yes,Medium,Medium,77.2
19,6.0,83.0,47.4,No,No,Medium,High,72.4
21,6.7,60.6,33.4,Yes,Yes,Medium,Medium,84.2
17,6.2,93.1,57.9,Yes,Yes,Low,High,94.9
18,4.6,94.3,88.9,No,Yes,Medium,Low,68.2
15,3.8,59.8,56.9,Yes,No,Low,Medium,72.6
18,8.6,86.9,63.2,Yes,Yes,High,High,94.3
21,5.2,64.3,51.9,Yes,Yes,Medium,Medium,58.9
19,4.8,90.1,5.1,Yes,No,High,Medium,47.1
19,0.3,99.9,23.3,Yes,Yes,Medium,Low,70.8
22,3.4,51.5,49.2,Yes,No,Medium,Low,51.6
21,3.8,94.9,31.0,Yes,Yes,Medium,Low,77.5
15,4.0,81.1,18.2,No,Yes,High,High,61.0
22,5.8,98.7,50.4,Yes,Yes,High,Medium,75.7
17,5.3,73.3,32.3,Yes,No,Low,High,89.6
22,6.1,92.4,25.8,Yes,Yes,Medium,Medium,68.9
16,7.6,53.1,46.4,No,Yes,Medium,Medium,52.4
15,8.1,66.8,13.3,Yes,Yes,Low,Medium,83.7
16,7.2,53.4,92.8,No,Yes,Medium,High,85.3
21,9.6,98.8,86.8,Yes,Yes,High,High,100.0
20,0.2,90.8,70.8,Yes,No,Medium,High,75.2
16,2.0,92.6,10.6,Yes,No,Medium,Low,57.3
17,0.1,96.9,77.6,Yes,Yes,Medium,Medium,79.3
22,6.5,54.3,80.8,Yes,Yes,Medium,Medium,77.1
20,9.0,69.3,76.8,Yes,No,Low,High,100.0
22,2.4,53.6,11.4,Yes,Yes,Medium,Medium,45.5
16,9.3,60.5,64.4,Yes,Yes,High,Medium,86.1
22,0.6,61.5,83.4,Yes,Yes,Medium,Medium,58.5
21,9.3,73.5,57.7,Yes,No,Low,Medium,86.0
20,3.5,63.4,64.6,Yes,No,Low,Low,64.8
21,1.0,55.0,45.8,Yes,No,Low,High,57.2
16,4.9,58.4,52.9,Yes,Yes,Medium,Medium,64.3
21,2.6,57.4,3.4,Yes,Yes,Medium,High,71.1
17,2.8,98.7,63.9,Yes,No,Low,High,76.3
16,3.1,88.0,8.1,Yes,Yes,High,Medium,69.0
16,8.0,98.4,43.5,Yes,No,Medium,Medium,96.0
16,5.4,72.0,29.3,Yes,No,Medium,Low,77.7
15,3.1,63.9,54.5,Yes,Yes,High,High,69.4
22,6.1,89.9,13.3,Yes,No,Low,Medium,88.3
15,7.2,66.3,69.2,Yes,Yes,High,Medium,60.0
15,2.7,65.0,79.5,Yes,No,Low,Medium,78.9
17,4.1,61.6,16.3,Yes,Yes,Medium,Medium,68.5
20,1.2,56.5,10.4,Yes,Yes,High,Medium,46.3
22,1.8,62.8,14.6,Yes,No,High,Medium,44.5
21,6.8,67.8,87.7,Yes,No,Medium,High,84.9
19,1.8,83.7,52.8,Yes,Yes,Medium,High,83.2
16,5.3,53.1,46.7,Yes,Yes,Medium,Medium,62.5
21,7.1,60.5,10.7,Yes,Yes,High,Medium,50.5
16,1.1,90.5,65.0,Yes,Yes,Low,High,93.6
17,5.7,57.3,86.8,Yes,Yes,High,Low,62.1
16,2.6,67.1,82.8,No,Yes,Medium,High,76.2
15,9.6,93.2,62.6,Yes,Yes,Medium,Medium,98.7
22,4.8,57.7,7.5,Yes,Yes,Medium,Medium,63.7
19,8.1,54.1,11.2,Yes,Yes,Medium,Medium,79.9
18,5.5,74.2,4.9,Yes,Yes,High,Medium,61.8
16,0.4,65.1,25.7,Yes,Yes,Medium,High,52.7
21,6.3,78.2,13.6,Yes,No,High,Low,66.6
15,9.5,90.2,26.0,No,Yes,Low,Medium,86.0
18,6.0,56.9,38.5,Yes,No,Medium,Medium,55.0
19,8.2,79.0,94.3,Yes,No,High,High,89.2
18,8.8,75.3,61.0,Yes,No,Medium,Medium,99.9
15,2.3,57.2,83.5,Yes,No,Medium,High,75.5
22,2.1,81.2,71.0,Yes,No,Medium,Medium,83.5
22,6.1,63.7,11.3,Yes,Yes,High,Low,53.3
20,4.1,74.4,73.6,Yes,Yes,High,High,63.3
22,8.4,54.1,27.5,Yes,No,Low,Low,72.4
20,9.0,73.0,63.9,Yes,Yes,High,Medium,77.6
18,3.5,65.3,34.1,Yes,No,Medium,Low,52.7
17,2.4,91.1,99.8,Yes,Yes,Low,Medium,83.0
21,7.8,52.8,26.4,Yes,No,High,Medium,64.9
21,2.7,70.9,27.9,Yes,Yes,Medium,Medium,64.6
18,8.2,72.9,93.1,Yes,Yes,High,Medium,86.1
16,4.2,86.3,2.5,No,Yes,Low,Medium,74.1
16,6.7,78.7,69.7,No,No,Low,Medium,87.8
22,1.0,83.4,72.5,Yes,No,Medium,Medium,64.9
21,6.2,88.9,83.6,Yes,Yes,Low,High,100.0
21,4.5,93.1,97.4,Yes,No,Medium,High,88.6
20,5.9,65.7,97.6,Yes,Yes,Low,Low,100.0
17,1.7,76.9,6.5,Yes,Yes,Medium,Low,61.0
15,7.4,92.0,82.2,Yes,Yes,Low,High,99.1
16,8.6,99.5,64.6,Yes,Yes,Low,Medium,99.5
21,2.2,94.5,64.7,Yes,Yes,Medium,Medium,80.1
20,1.0,68.6,12.8,Yes,Yes,Low,High,77.8
19,0.2,59.8,65.0,Yes,No,Medium,Medium,72.2
20,6.4,74.5,98.2,Yes,No,High,Medium,80.7
16,6.1,87.1,91.2,No,Yes,Medium,High,86.1
16,5.5,74.6,43.9,Yes,Yes,High,Medium,64.9
20,2.3,74.2,4.0,Yes,Yes,Low,Low,71.0
15,3.9,91.9,36.2,Yes,Yes,Low,Low,73.9
18,5.9,68.1,82.6,Yes,Yes,High,Medium,71.2
16,5.0,93.0,70.1,Yes,Yes,Medium,High,87.5
20,9.9,70.3,45.9,Yes,No,Medium,Medium,99.9
21,1.4,66.4,5.5,Yes,No,Medium,Low,48.2
20,7.0,72.7,42.7,Yes,Yes,Medium,High,82.0
17,4.0,88.1,46.9,Yes,Yes,Low,Low,66.8
18,4.3,56.3,92.9,Yes,Yes,Medium,Low,76.5
19,7.2,59.8,64.1,Yes,No,Medium,Medium,63.4
15,6.9,97.6,31.2,Yes,Yes,Medium,Medium,81.5
22,9.9,58.8,52.5,Yes,Yes,High,Medium,77.4
19,1.3,78.4,6.6,Yes,No,Medium,High,73.0
18,1.0,79.0,97.3,No,Yes,Low,High,82.2
18,7.2,74.5,36.0,Yes,Yes,High,Medium,68.9
18,5.8,82.2,47.8,No,Yes,Medium,Medium,69.8
19,2.7,61.5,35.5,Yes,Yes,Medium,Medium,65.5
21,0.8,77.6,68.3,Yes,Yes,Low,Medium,78.7
18,0.9,68.6,66.2,No,Yes,Low,Low,45.1
20,8.9,83.1,71.5,Yes,Yes,Medium,High,100.0
19,1.9,57.1,26.8,Yes,Yes,Medium,Low,41.1
22,3.2,78.5,31.6,Yes,No,High,Low,57.5
18,2.3,59.3,12.5,Yes,Yes,High,Medium,40.5
20,3.5,63.9,65.6,No,Yes,High,Medium,47.8
21,0.7,60.9,4.0,Yes,No,Medium,Low,47.6
17,5.2,59.1,59.8,Yes,No,Medium,Low,69.8
21,0.7,91.3,87.0,Yes,No,Medium,Medium,69.1
22,8.0,64.3,89.1,Yes,Yes,Low,Medium,87.5
18,2.3,96.4,44.9,Yes,Yes,Low,Medium,80.8
22,5.4,98.5,45.9,Yes,No,Medium,Medium,91.1
19,8.8,78.6,7.7,Yes,No,High,Medium,71.9
16,6.5,57.2,67.1,Yes,Yes,Low,High,83.1
18,5.3,68.7,82.1,No,No,Low,Medium,78.0
16,3.2,89.9,24.5,Yes,Yes,High,Low,62.0
20,3.3,68.4,42.1,Yes,No,Low,Medium,75.1
17,6.7,54.4,83.9,Yes,No,Medium,High,81.1
15,9.9,77.8,87.7,Yes,No,Medium,Low,85.6
22,6.6,92.3,24.3,Yes,No,Low,Medium,77.7
21,5.6,89.8,55.1,No,No,High,Low,53.8
17,7.3,58.8,19.2,Yes,Yes,Low,Low,83.5
18,4.7,83.6,10.2,No,Yes,Medium,Medium,52.8
16,0.6,61.0,91.1,Yes,Yes,Low,Medium,60.1
21,5.6,60.9,82.1,Yes,Yes,Low,High,97.2
16,9.6,93.7,76.0,Yes,No,Low,Medium,100.0
19,1.8,62.5,4.9,Yes,Yes,Low,Medium,65.0
16,6.9,63.2,84.4,Yes,Yes,Low,Medium,96.3
19,2.0,50.0,43.8,No,Yes,Medium,Medium,53.6
20,5.4,93.5,34.2,Yes,No,Medium,Low,66.7
21,1.0,89.6,54.6,No,Yes,Medium,High,64.5
21,4.5,81.4,9.1,Yes,Yes,Medium,High,79.5
15,7.6,87.5,75.7,Yes,Yes,High,Low,82.9
18,3.5,57.6,58.2,Yes,No,High,Low,50.3
19,6.6,72.9,18.7,Yes,Yes,Medium,Low,56.8
15,8.0,67.6,18.8,No,No,High,Medium,54.7
16,9.3,54.7,18.4,Yes,Yes,Medium,Medium,72.6
16,2.3,74.3,5.7,Yes,Yes,Medium,High,75.7
15,4.0,96.0,58.8,Yes,No,Medium,High,87.3
21,1.5,52.0,84.0,Yes,Yes,Medium,Medium,62.1
16,9.9,64.6,1.7,Yes,Yes,Medium,Medium,85.0
22,9.3,60.4,4.9,Yes,Yes,Medium,Medium,70.4
20,5.4,61.9,57.3,Yes,Yes,High,Medium,66.1
20,8.4,95.4,81.9,Yes,Yes,High,Medium,97.0
22,5.2,73.4,32.7,Yes,Yes,Medium,Medium,82.0
15,6.2,73.3,35.0,Yes,Yes,Medium,Medium,79.7
22,0.9,88.0,59.6,Yes,Yes,Low,Medium,82.5
19,7.6,57.7,27.4,Yes,No,Low,Medium,68.8
19,1.3,74.4,2.7,Yes,No,Medium,High,63.4
15,8.3,71.5,73.5,Yes,Yes,Medium,Medium,91.7
22,7.8,79.8,62.6,Yes,Yes,Low,Medium,88.6
19,7.1,100.0,58.1,Yes,Yes,High,Medium,95.8
21,0.4,88.5,74.2,Yes,Yes,Medium,Medium,81.3
22,3.0,69.9,67.5,Yes,Yes,Medium,Medium,61.1
21,2.6,91.4,20.6,Yes,Yes,Low,Low,69.9
19,3.6,58.5,35.2,Yes,Yes,Low,Medium,52.8
20,0.9,51.5,12.6,Yes,Yes,High,Medium,43.0
19,9.4,60.2,13.0,Yes,Yes,Medium,High,80.7
21,5.5,67.0,67.6,Yes,No,High,Medium,57.6
17,3.1,75.5,85.9,Yes,Yes,High,Medium,78.7
18,4.0,80.8,96.3,Yes,No,Medium,Medium,82.5
16,4.5,95.5,62.8,Yes,No,Low,Low,80.1
22,6.0,75.5,18.4,Yes,Yes,High,High,69.8
17,5.2,75.1,10.6,Yes,Yes,High,Medium,74.1
19,9.2,52.5,81.3,Yes,Yes,Medium,Medium,81.9
20,5.0,51.7,57.9,Yes,Yes,Medium,Medium,70.7
15,9.9,77.6,61.8,Yes,Yes,Medium,Medium,100.0
19,8.5,71.9,78.1,Yes,No,Medium,High,89.4
20,2.1,92.0,70.3,Yes,Yes,Medium,Medium,64.8
18,9.3,58.0,83.4,Yes,Yes,High,Medium,64.4
19,1.2,51.2,5.6,No,No,Medium,High,34.3
21,8.2,72.5,74.8,Yes,No,Low,High,91.3
15,3.8,61.9,85.1,Yes,Yes,Medium,Low,74.9
20,8.8,52.5,28.6,Yes,No,Low,Low,83.2
20,8.7,86.2,64.0,No,Yes,Low,Low,79.9
20,8.1,55.6,31.4,Yes,Yes,High,Medium,63.0
18,7.9,80.4,95.8,Yes,Yes,Low,High,100.0
19,3.0,64.1,3.3,Yes,Yes,Low,Medium,64.0
18,0.8,58.7,58.0,Yes,No,Medium,Medium,62.5
22,4.0,69.0,16.7,No,Yes,Medium,High,57.4
16,1.7,90.1,71.2,Yes,Yes,Medium,Medium,87.9
16,6.9,69.6,17.6,Yes,Yes,Low,Medium,91.7
22,3.5,87.5,23.5,No,Yes,Low,High,77.1
19,9.8,56.3,49.4,Yes,Yes,Low,High,88.4
21,6.4,88.6,91.5,Yes,Yes,Medium,High,86.5
18,8.2,61.8,21.2,Yes,No,Low,Medium,78.4
15,1.3,83.9,14.4,Yes,Yes,High,High,65.7
20,8.6,78.3,75.9,Yes,Yes,Medium,Low,87.7
20,9.2,96.5,50.1,Yes,Yes,Low,Medium,100.0
19,4.9,69.4,91.2,Yes,Yes,Medium,High,85.3
21,6.1,53.3,14.7,Yes,Yes,Medium,Medium,65.5
16,7.6,51.0,64.6,Yes,No,Medium,High,79.2
16,1.7,91.3,23.3,Yes,No,Low,Medium,89.8
20,5.0,76.2,15.7,No,Yes,Medium,Low,62.7
19,4.0,88.8,68.3,Yes,Yes,Medium,High,99.6
18,1.5,61.7,59.4,Yes,No,High,Low,43.0
16,3.7,67.3,75.5,No,Yes,Low,Medium,60.5
18,0.7,51.5,30.9,Yes,Yes,Medium,Low,40.5
21,0.3,98.1,44.8,Yes,Yes,Medium,High,81.0
16,1.4,83.4,40.5,Yes,No,High,Medium,51.1
16,9.6,96.7,98.4,Yes,Yes,High,Medium,92.8
17,5.5,63.3,29.2,Yes,No,Low,Low,77.2
16,9.7,80.6,29.5,No,No,Low,High,87.9
22,4.3,83.9,35.5,Yes,Yes,Medium,High,94.1
15,3.1,65.9,56.5,Yes,No,Low,High,87.3
22,5.1,92.4,25.2,Yes,No,Medium,Medium,80.1
19,4.4,97.4,91.5,Yes,Yes,Low,Medium,93.1
19,1.1,94.2,26.6,Yes,Yes,Medium,Low,68.6
18,6.4,87.0,89.6,Yes,Yes,High,Medium,83.5
22,2.2,63.9,10.3,Yes,Yes,High,Medium,58.7
22,6.2,64.1,65.7,Yes,Yes,Medium,High,80.5
22,6.5,98.2,90.7,Yes,Yes,Medium,High,93.1
21,1.5,50.5,16.9,Yes,Yes,High,Medium,44.9
16,0.6,85.8,96.8,Yes,No,Low,Low,77.3
15,7.8,85.3,45.3,Yes,Yes,Medium,High,83.8
18,4.6,81.1,94.6,Yes,Yes,Medium,Low,66.5
22,0.6,99.5,67.7,Yes,Yes,Low,Low,81.2
22,9.9,65.6,30.2,No,Yes,Medium,Medium,69.1
17,0.6,67.0,18.8,Yes,Yes,Low,Medium,56.6
18,7.0,53.9,30.4,No,Yes,Medium,High,63.4
22,9.8,72.1,9.3,Yes,Yes,Low,Medium,86.9
18,2.4,63.1,14.4,No,No,Medium,Low,44.2
16,1.4,67.2,10.5,Yes,No,Low,Medium,62.7
17,1.2,91.7,42.3,No,Yes,High,High,64.2
18,3.0,96.8,79.6,Yes,No,Medium,Medium,77.9
15,1.0,59.3,14.1,Yes,No,Medium,Medium,57.9
15,6.9,68.6,13.0,No,Yes,Medium,High,80.3
19,0.6,96.4,64.3,Yes,No,Medium,High,70.9
17,5.1,53.1,19.7,Yes,No,Low,High,85.9
17,10.0,54.6,9.8,Yes,Yes,Medium,High,86.3
19,8.1,58.1,16.7,No,Yes,Low,Low,65.1
18,6.2,79.8,92.4,Yes,Yes,Low,Medium,83.8
17,3.1,57.5,82.1,Yes,Yes,Medium,Medium,67.7
15,6.2,98.4,35.4,Yes,No,Low,Medium,95.3
15,5.3,72.3,65.6,Yes,Yes,Medium,High,86.4
22,4.3,75.1,53.7,Yes,No,Medium,High,73.5
16,1.3,62.3,67.7,Yes,No,Medium,High,76.3
17,8.9,73.5,68.3,Yes,No,Medium,Low,74.4
18,4.5,83.1,62.9,No,No,Medium,High,80.3
19,1.9,87.6,26.6,Yes,Yes,Medium,High,79.4
19,3.7,87.7,3.9,Yes,Yes,Medium,Low,66.7
18,4.1,78.9,45.6,Yes,No,Low,High,81.4
21,8.3,95.2,89.1,Yes,Yes,Medium,Medium,100.0
20,7.3,90.9,56.9,Yes,Yes,Medium,Low,86.3
16,7.7,87.9,83.2,Yes,No,Medium,Medium,71.6
19,0.1,52.8,99.2,Yes,No,High,Medium,49.0
17,4.2,50.3,16.4,Yes,Yes,High,Low,50.0
16,4.8,60.6,69.2,Yes,No,Low,Medium,82.7
17,0.2,83.2,67.4,Yes,No,Low,High,77.6
21,2.6,70.6,98.0,Yes,Yes,Low,Medium,71.7
15,7.6,70.1,98.6,Yes,Yes,Low,High,100.0
16,1.4,94.2,68.7,Yes,No,Low,Medium,79.4
22,5.4,94.8,24.4,Yes,Yes,Medium,Low,87.6
19,2.2,95.5,79.9,Yes,Yes,High,Medium,74.1
16,0.1,65.7,10.7,Yes,Yes,Medium,Medium,59.0
16,2.4,84.6,78.1,Yes,No,Low,Medium,75.1
16,9.8,63.6,91.0,Yes,Yes,Medium,Low,89.3
20,8.0,59.5,38.3,Yes,Yes,Medium,Medium,68.5
16,9.6,59.2,63.1,Yes,Yes,High,Medium,83.8
17,4.9,67.1,43.0,No,No,High,High,70.0
15,1.1,71.5,43.8,No,Yes,High,Low,34.9
21,5.5,91.5,31.0,Yes,Yes,Medium,Medium,83.6
18,4.5,56.0,76.2,Yes,No,Medium,Low,69.1
16,8.4,86.7,93.6,Yes,Yes,Low,Medium,100.0
19,1.0,76.6,94.1,Yes,No,Medium,Low,56.8
16,4.9,64.4,17.5,Yes,No,Low,High,82.7
19,1.5,74.6,87.5,Yes,No,Medium,High,67.1
17,3.2,65.0,73.7,Yes,Yes,Medium,Medium,73.2
19,7.4,79.8,25.3,Yes,No,Low,Low,71.8
22,4.8,71.7,6.7,Yes,No,Low,Medium,91.7
18,3.8,58.2,26.8,Yes,No,Low,High,78.9
15,3.9,55.8,91.2,Yes,Yes,Low,Low,65.3
19,4.6,77.3,63.3,Yes,No,Low,Medium,90.0
19,7.9,95.1,72.1,Yes,Yes,Low,High,100.0
15,8.9,67.2,25.7,Yes,Yes,Low,High,95.4
18,9.6,86.7,71.9,Yes,Yes,Low,High,100.0
16,7.9,82.9,2.8,Yes,No,High,High,82.5
19,3.2,96.6,37.5,Yes,Yes,Medium,High,91.4
15,6.9,91.0,62.7,Yes,Yes,Low,Medium,92.4
22,4.4,78.3,14.6,Yes,No,Medium,Medium,73.5
22,2.5,82.9,82.3,No,Yes,High,High,73.8
17,8.4,94.9,23.5,Yes,No,Medium,Medium,91.4
15,0.4,70.0,65.2,Yes,Yes,Low,High,87.2
17,9.0,66.3,40.5,Yes,Yes,Medium,Low,75.2
22,4.6,50.5,59.6,No,No,Medium,Medium,40.4
18,6.4,91.3,10.7,Yes,No,Medium,Medium,87.7
16,6.6,90.0,1.7,No,Yes,Medium,Medium,68.6
15,9.0,55.2,91.0,Yes,No,High,Medium,71.1
21,6.4,78.8,27.0,Yes,Yes,High,High,72.8
22,6.1,73.2,82.0,No,Yes,Medium,Low,81.2
22,0.7,55.9,99.9,Yes,Yes,Medium,High,67.1
21,5.2,99.0,21.1,Yes,Yes,Medium,Medium,83.6
20,1.5,60.7,26.5,Yes,Yes,High,Medium,62.6
22,7.4,53.4,66.3,Yes,Yes,Low,Medium,85.0
19,5.1,79.7,96.5,Yes,Yes,High,Medium,73.0
18,6.8,86.9,91.6,Yes,Yes,Low,High,100.0
15,0.4,51.6,50.3,Yes,Yes,Medium,High,64.2
21,0.8,82.9,79.5,Yes,Yes,High,High,82.6
19,7.2,76.6,13.6,No,No,Low,High,76.6
21,0.7,55.2,97.7,Yes,No,Medium,Medium,61.1
15,0.7,58.6,96.4,Yes,Yes,Low,High,65.6
17,0.1,78.4,16.4,Yes,No,Medium,High,74.5
15,9.6,64.8,29.9,Yes,No,Low,High,87.1
20,7.4,96.9,10.0,Yes,Yes,Medium,Low,80.2
15,3.5,90.9,27.2,No,Yes,Medium,High,78.6
15,3.0,99.2,81.6,Yes,No,High,Medium,68.9
20,3.5,63.0,37.8,Yes,Yes,High,High,71.8
18,7.7,98.5,8.8,Yes,No,Low,Low,82.2
22,6.6,71.6,34.2,Yes,No,Medium,Medium,77.8
15,1.9,67.4,98.1,No,No,Low,Medium,61.7
20,1.7,52.5,63.0,Yes,No,Low,Medium,68.6
19,1.0,52.6,41.6,Yes,Yes,Low,Low,59.2
17,6.6,84.6,16.7,Yes,Yes,High,High,87.5
17,7.6,72.9,98.6,Yes,No,High,Low,77.9
15,2.7,61.3,82.1,Yes,Yes,Low,Medium,67.3
18,0.2,80.7,28.1,Yes,No,Low,Low,63.5
18,0.8,62.6,7.0,Yes,No,Low,Medium,47.3
19,9.7,78.9,5.7,Yes,No,Medium,Medium,84.0
15,3.0,68.0,12.0,Yes,Yes,Medium,Medium,56.9
17,7.7,91.2,58.1,No,Yes,Low,Medium,87.7
18,6.2,91.0,92.9,No,Yes,Medium,Medium,84.6
15,3.8,73.9,49.7,Yes,Yes,Medium,Low,77.6
21,2.1,67.5,84.3,Yes,No,High,Low,58.8
18,1.2,68.1,44.6,Yes,No,Medium,Medium,48.2
20,6.2,90.3,70.9,Yes,No,Medium,High,87.0
21,7.7,66.4,73.2,Yes,Yes,Medium,Medium,88.8
22,6.4,60.5,17.4,Yes,Yes,High,Medium,78.9
18,5.3,54.2,36.1,No,No,Low,Medium,58.5
17,0.4,73.3,63.7,No,Yes,Medium,Medium,59.9
16,9.7,74.1,7.1,Yes,Yes,High,Low,70.0
21,8.0,92.0,36.2,Yes,No,Low,Low,73.6
22,2.9,61.1,53.5,Yes,No,Low,Medium,72.5
19,9.8,69.0,99.6,Yes,Yes,Medium,Medium,100.0
19,6.0,90.4,47.5,Yes,No,High,Low,78.7
17,5.8,91.2,81.6,Yes,Yes,Medium,Medium,96.6
18,7.5,69.2,43.2,No,No,High,High,80.1
15,8.1,73.0,79.6,Yes,Yes,Medium,Medium,89.4
18,6.6,65.2,59.5,Yes,Yes,Low,Medium,79.4
17,1.3,96.6,88.7,Yes,No,Medium,High,80.7
19,3.4,55.9,41.1,Yes,Yes,Medium,High,61.1
18,9.3,96.7,60.4,Yes,No,Low,Medium,98.5
19,2.2,84.2,63.0,No,No,Low,High,76.8
21,3.7,76.6,41.7,Yes,No,Low,Low,72.2
22,4.3,51.6,14.4,Yes,No,Medium,Medium,58.7
15,4.4,73.8,9.4,Yes,Yes,High,Medium,64.1
21,6.1,70.4,1.7,Yes,No,Medium,Low,44.9
19,9.4,58.1,87.4,Yes,Yes,High,Medium,80.4
19,2.4,82.8,23.6,Yes,Yes,Low,Low,68.5
16,1.2,98.6,21.2,Yes,No,High,Medium,52.6
16,2.0,78.1,73.6,Yes,Yes,High,Medium,61.9
21,8.9,85.7,32.0,Yes,Yes,Medium,Medium,75.8
20,6.5,53.4,50.6,Yes,Yes,High,Low,75.0
21,2.9,70.9,16.3,Yes,No,Low,Low,61.9
16,8.2,55.8,96.0,Yes,No,High,Medium,74.8
19,8.6,80.6,85.2,Yes,Yes,High,High,97.6
17,8.5,96.9,86.4,Yes,Yes,Medium,Low,94.7
21,9.2,83.1,40.7,Yes,No,Medium,Medium,83.0
19,2.5,53.8,76.2,Yes,Yes,Low,High,78.0
17,7.6,67.7,14.4,Yes,Yes,Medium,Low,76.0
17,4.6,77.5,0.9,Yes,Yes,Medium,High,70.9
16,8.4,70.2,2.0,Yes,Yes,Medium,Medium,75.2
21,7.3,91.7,58.7,Yes,Yes,Medium,Medium,100.0
18,7.8,90.7,45.5,Yes,No,High,Medium,69.7
15,6.6,80.6,51.8,Yes,Yes,Low,Medium,83.8
16,1.8,68.7,0.7,Yes,No,High,Medium,43.8
16,5.5,62.8,42.3,Yes,No,High,High,72.2
18,9.8,55.3,71.8,Yes,No,Medium,High,87.2
15,9.4,67.7,44.3,No,Yes,Low,Medium,78.6
19,0.4,70.7,73.2,Yes,Yes,Low,High,70.0
20,1.6,83.8,23.3,Yes,Yes,Low,Medium,77.4
21,1.3,82.9,81.3,Yes,No,Medium,Medium,64.3
20,7.3,53.5,58.8,Yes,Yes,Medium,Medium,80.8
19,8.2,69.8,21.1,Yes,Yes,High,High,81.8
22,2.1,59.1,23.7,Yes,Yes,Medium,Medium,57.6
16,5.1,57.8,62.8,No,Yes,Medium,Medium,64.6
15,8.4,91.4,83.0,No,Yes,Medium,High,90.3
16,7.3,52.1,41.6,Yes,Yes,High,Medium,67.6
17,5.4,71.0,25.8,Yes,Yes,High,Low,57.0
16,5.9,58.4,86.7,Yes,Yes,High,Medium,67.5
16,5.1,94.0,66.9,Yes,Yes,Medium,Medium,88.0
19,3.0,77.9,44.8,Yes,No,Medium,Medium,75.0
19,5.7,61.6,48.8,Yes,Yes,High,High,78.7
19,6.9,75.1,20.4,Yes,Yes,Medium,Medium,70.2
20,8.7,86.6,62.7,Yes,Yes,Low,Medium,91.1
17,6.4,97.9,35.9,Yes,Yes,Low,Medium,100.0
22,7.6,61.0,99.6,No,No,Low,Low,77.7
